symbol;available_exchanges;currency_base;currency_quote
"LSK/INR";"[""Synthetic""]";"Lisk";"Indian Rupee"
"LSK/KRW";"[""Synthetic"",""Upbit""]";"Lisk";"Korean Won"
"LSK/MXN";"[""Synthetic""]";"Lisk";"Mexican Peso"
"LSK/MYR";"[""Synthetic""]";"Lisk";"Malaysian Ringgit"
"LSK/PLN";"[""BitBay"",""Synthetic""]";"Lisk";"Polish Zloty"
"LSK/RUB";"[""Synthetic""]";"Lisk";"Russian Ruble"
"LSK/SAR";"[""Synthetic""]";"Lisk";"Saudi Riyal"
"LSK/SEK";"[""Synthetic""]";"Lisk";"Swedish Krona"
"LSK/TRY";"[""Synthetic""]";"Lisk";"Turkish Lira"
"LSK/USD";"[""Binance"",""Gate.io""]";"Lisk";"US Dollar"
"LSK/ZAR";"[""Synthetic""]";"Lisk";"South African Rand"
"LTB/USD";"[""Synthetic""]";"LiteBar";"US Dollar"
"LTC/AUD";"[""BTC Markets"",""Synthetic""]";"Litecoin";"Australian Dollar"
"LTC/BNB";"[""Binance""]";"Litecoin";"Binance Coin"
"LTC/BRL";"[""Binance"",""MercadoBitcoin"",""NovaDAX""]";"Litecoin";"Brazil Real"
"LTC/BTC";"[""HitBTC"",""OKEx""]";"Litecoin";"Bitcoin"
"LTC/CAD";"[""Synthetic""]";"Litecoin";"Canadian Dollar"
"LTC/CNY";"[""Synthetic""]";"Litecoin";"Chinese Yuan"
"LTC/ETH";"[""Binance""]";"Litecoin";"Ethereum"
"LTC/EUR";"[""BitStamp"",""Coinbase Pro""]";"Litecoin";"Euro"
"LTC/GBP";"[""Coinbase Pro""]";"Litecoin";"British Pound"
"LTC/HKD";"[""Synthetic""]";"Litecoin";"Hong Kong Dollar"
"LTC/IDR";"[""BTC Indonesia""]";"Litecoin";"Indonesian Rupiah"
"LTC/ILS";"[""Synthetic""]";"Litecoin";"Israeli Shekel"
"LTC/INR";"[""Bitbns"",""Synthetic""]";"Litecoin";"Indian Rupee"
"LTC/JPY";"[""Bitbank""]";"Litecoin";"Japanese Yen"
"LTC/MXN";"[""Synthetic""]";"Litecoin";"Mexican Peso"
"LTC/MYR";"[""Luno"",""Synthetic""]";"Litecoin";"Malaysian Ringgit"
"LTC/NGN";"[""Luno""]";"Litecoin";"Nigerian Naira"
"LTC/PLN";"[""BitBay"",""Synthetic""]";"Litecoin";"Polish Zloty"
"LTCR/BTC";"[""YoBit""]";"Litecred";"Bitcoin"
"LTC/RUB";"[""Synthetic""]";"Litecoin";"Russian Ruble"
"LTCR/USD";"[""Synthetic""]";"Litecred";"US Dollar"
"LTC/SAR";"[""Synthetic""]";"Litecoin";"Saudi Riyal"
"LTC/SEK";"[""Synthetic""]";"Litecoin";"Swedish Krona"
"LTC/TRY";"[""BTCTurk"",""Paribu"",""Synthetic""]";"Litecoin";"Turkish Lira"
"LTCU/BTC";"[""YoBit""]";"LiteCoin Ultra";"Bitcoin"
"LTC/USD";"[""Binance""]";"Litecoin";"US Dollar"
"LTCU/USD";"[""Synthetic""]";"LiteCoin Ultra";"US Dollar"
"LTC/VND";"[""Synthetic""]";"Litecoin";"Vietnamese Dong"
"LTC/ZAR";"[""Luno"",""Synthetic""]";"Litecoin";"South African Rand"
"LTG/USD";"[""Synthetic""]";"LiteCoin Gold";"US Dollar"
"LUMIA/USD";"[""Binance""]";"Lumia";"US Dollar"
"LUNAt/BRL";"[""Synthetic""]";"Terra";"Brazil Real"
"LUNAt/CAD";"[""Synthetic""]";"Terra";"Canadian Dollar"
"LUNAt/INR";"[""Bitbns""]";"Terra";"Indian Rupee"
"LUNAt/TRY";"[""Binance""]";"Terra";"Turkish Lira"
"LUNAt/USD";"[""Binance"",""Huobi""]";"Terra";"US Dollar"
"LUNC/BRL";"[""Synthetic""]";"Terra Classic";"Brazil Real"
"LUNC/CAD";"[""Synthetic""]";"Terra Classic";"Canadian Dollar"
"LUNC/USD";"[""Gate.io"",""Huobi"",""Kucoin""]";"Terra Classic";"US Dollar"
"LUN/ETH";"[""YoBit""]";"Lunyr";"Ethereum"
"LUN/USD";"[""Synthetic""]";"Lunyr";"US Dollar"
"LUSD/USD";"[""Uniswap""]";"Liquidity USD";"US Dollar"
"LUX/USD";"[""Synthetic""]";"LUXCoin";"US Dollar"
"LYL/USD";"[""Synthetic""]";"LoyalCoin";"US Dollar"
"MAC/USD";"[""Synthetic""]";"Machinecoin";"US Dollar"
"MAGN/USD";"[""Synthetic""]";"Magnetcoin";"US Dollar"
"MAGT/USD";"[""Synthetic""]";"Magnet";"US Dollar"
"MANA/BRL";"[""NovaDAX""]";"Decentraland";"Brazil Real"
"MANA/BTC";"[""Binance""]";"Decentraland";"Bitcoin"
"MANA/CAD";"[""Synthetic""]";"Decentraland";"Canadian Dollar"
"MANA/ETH";"[""Binance""]";"Decentraland";"Ethereum"
"MANA/EUR";"[""Coinbase Pro"",""Kraken""]";"Decentraland";"Euro"
"MANA/INR";"[""Bitbns""]";"Decentraland";"Indian Rupee"
"MANA/TRY";"[""Binance""]";"Decentraland";"Turkish Lira"
"MANA/USD";"[""Binance"",""Gate.io"",""OKEx""]";"Decentraland";"US Dollar"
"MANTA/USD";"[""Binance""]";"Manta Network";"US Dollar"
"MAN/USD";"[""Synthetic""]";"Martix AI Network";"US Dollar"
"MAO/USD";"[""Synthetic""]";"Mao Zedong";"US Dollar"
"MARS/USD";"[""Synthetic""]";"Marscoin";"US Dollar"
"MASK/USD";"[""Binance"",""Coinbase Pro"",""Gate.io""]";"Mask Network";"US Dollar"
"MATIC/CAD";"[""Synthetic""]";"Polygon";"Canadian Dollar"
"MATIC/INR";"[""Bitbns""]";"Polygon";"Indian Rupee"
"MAVRO/USD";"[""Synthetic""]";"Mavro";"US Dollar"
"MAX/BTC";"[""YoBit""]";"MaxCoin";"Bitcoin"
"MAX/USD";"[""Synthetic""]";"MaxCoin";"US Dollar"
"MAY/USD";"[""Synthetic""]";"Theresa May Coin";"US Dollar"
"MAZA/USD";"[""Synthetic""]";"MazaCoin";"US Dollar"
"MBOX/USD";"[""Binance""]";"MOBOX";"US Dollar"
"MBRS/USD";"[""Synthetic""]";"Embers";"US Dollar"
"MCAP/USD";"[""Synthetic""]";"MCAP";"US Dollar"
"MCI/USD";"[""Synthetic""]";"Musiconomi";"US Dollar"
"MCO/USD";"[""YoBit""]";"Crypto.com";"US Dollar"
"MCR/USD";"[""Synthetic""]";"Macro";"US Dollar"
"MDT/USD";"[""Gate.io""]";"Measurable Data Token";"US Dollar"
"MEC/USD";"[""Synthetic""]";"Megacoin";"US Dollar"
"MED/USD";"[""Gate.io""]";"Medibloc";"US Dollar"
"MEDX/USD";"[""Synthetic""]";"MediBloc [ERC20]";"US Dollar"
"MERI/USD";"[""Synthetic""]";"Merebel";"US Dollar"
"MERL/USD";"[""OKX""]";"Merlin Chain";"US Dollar"
"METAL/USD";"[""Synthetic""]";"MetalCoin";"US Dollar"
"METIS/USD";"[""Gate.io""]";"MetisDAO";"US Dollar"
"MEXC/USD";"[""Synthetic""]";"MEXC Token";"US Dollar"
"MGC/USD";"[""Synthetic""]";"MergeCoin";"US Dollar"
"MINA/BTC";"[""Binance""]";"Mina";"Bitcoin"
"MINA/USD";"[""Binance""]";"Mina";"US Dollar"
"MIN/USD";"[""Synthetic""]";"MINDOL";"US Dollar"
"MITH/ETH";"[""HitBTC""]";"Mithril";"Ethereum"
"MKR/INR";"[""Bitbns""]";"Maker";"Indian Rupee"
"MKR/TRY";"[""Paribu""]";"Maker";"Turkish Lira"
"MLN/BTC";"[""Kraken""]";"Melon";"Bitcoin"
"MMXVI/USD";"[""Synthetic""]";"MMXVI";"US Dollar"
"MNM/USD";"[""Synthetic""]";"Mineum";"US Dollar"
"MNTP/BTC";"[""YoBit""]";"GoldMint";"Bitcoin"
"MNTP/ETH";"[""YoBit""]";"GoldMint";"Ethereum"
"MNTP/USD";"[""Synthetic"",""YoBit""]";"GoldMint";"US Dollar"
"MNT/USD";"[""Bybit""]";"Mantle";"US Dollar"
"MOBI/USD";"[""Gate.io""]";"Mobius";"US Dollar"
"MODE/USD";"[""Gate.io""]";"Mode";"US Dollar"
"MOG/USDT";"[""Bybit""]";"Mog Coin";"US Dollar"
"MOIN/USD";"[""Synthetic""]";"Moin";"US Dollar"
"MOJO/BTC";"[""YoBit""]";"MojoCoin";"Bitcoin"
"MOJO/USD";"[""Synthetic""]";"MojoCoin";"US Dollar"
"MONA/BTC";"[""Bitbank""]";"MonaCoin";"Bitcoin"
"MONA/JPY";"[""Bitbank"",""Zaif""]";"MonaCoin";"Japanese Yen"
"MONA/USD";"[""Synthetic""]";"MonaCoin";"US Dollar"
"MONK/USD";"[""Synthetic""]";"Monkey Project";"US Dollar"
"MORPHO/USD";"[""OKX""]";"Morpho";"US Dollar"
"MOTO/BTC";"[""YoBit""]";"Motocoin";"Bitcoin"
"MOTO/USD";"[""Synthetic""]";"Motocoin";"US Dollar"
"MOVR/USD";"[""Gate.io"",""Kucoin""]";"Moonriver";"US Dollar"
"MRJA/USD";"[""Synthetic""]";"GanjaCoin";"US Dollar"
"MRT/USD";"[""Synthetic""]";"Miners Reward Token";"US Dollar"
"MSP/USD";"[""Synthetic""]";"Mothership";"US Dollar"
"MST/BTC";"[""YoBit""]";"MustangCoin";"Bitcoin"
"MST/USD";"[""Synthetic""]";"MustangCoin";"US Dollar"
"MTC/USD";"[""Synthetic""]";"doc.com Token";"US Dollar"
"MTH/USD";"[""Synthetic""]";"Monetha";"US Dollar"
"MTL/BTC";"[""Binance""]";"Metal";"Bitcoin"
"MTL/KRW";"[""Bithumb"",""Upbit""]";"Metal";"Korean Won"
"MTLMC3/USD";"[""Synthetic""]";"Metal Music Coin";"US Dollar"
"MTL/USD";"[""Binance"",""Synthetic""]";"Metal";"US Dollar"
"MTNC/USD";"[""Synthetic""]";"Masternodecoin";"US Dollar"
"MUSIC/USD";"[""Synthetic""]";"Musicoin";"US Dollar"
"MVL/BTC";"[""Upbit""]";"MVL";"Bitcoin"
"MVL/KRW";"[""Upbit""]";"MVL";"Korean Won"
"MVL/USD";"[""Synthetic""]";"MVL";"US Dollar"
"MYST/BTC";"[""HitBTC""]";"Mysterium";"Bitcoin"
"MYST/ETH";"[""HitBTC""]";"Mysterium";"Ethereum"
"MYST/USD";"[""Synthetic""]";"Mysterium";"US Dollar"
"NANJ/USD";"[""Synthetic""]";"NANJCOIN";"US Dollar"
"NANO/EUR";"[""Kraken""]";"Nano";"Euro"
"NANOX/USD";"[""Synthetic""]";"Project-X";"US Dollar"
"NBIT/USD";"[""Synthetic""]";"netBit";"US Dollar"
"NBR/USD";"[""Synthetic""]";"Niobio Cash";"US Dollar"
"NCASH/USD";"[""Synthetic""]";"Nucleus Vision";"US Dollar"
"NEAR/BTC";"[""Binance""]";"NEAR Protocol";"Bitcoin"
"NEAR/CAD";"[""Synthetic""]";"NEAR Protocol";"Canadian Dollar"
"NEAR/INR";"[""Bitbns""]";"NEAR Protocol";"Indian Rupee"
"NEAR/USD";"[""Binance"",""Huobi""]";"NEAR Protocol";"US Dollar"
"NEO/AUD";"[""Synthetic""]";"NEO";"Australian Dollar"
"NEO/BTC";"[""Binance""]";"Neo";"Bitcoin"
"NEO/CAD";"[""Synthetic""]";"NEO";"Canadian Dollar"
"NEO/CNY";"[""Synthetic""]";"NEO";"Chinese Yuan"
"NEO/EUR";"[""Synthetic""]";"Neo Euro";"Euro"
"NEO/GBP";"[""CEX.IO""]";"Neo British Pound";"British Pound"
"NEOG/USD";"[""Synthetic""]";"NEO GOLD";"US Dollar"
"NEO/HKD";"[""Synthetic""]";"NEO";"Hong Kong Dollar"
"NEO/ILS";"[""Synthetic""]";"NEO";"Israeli Shekel"
"NEO/INR";"[""Bitbns"",""Synthetic""]";"NEO";"Indian Rupee"
"NEO/KRW";"[""Upbit""]";"NEO";"Korean Won"
"NEO/MXN";"[""Synthetic""]";"NEO";"Mexican Peso"
"NEO/MYR";"[""Synthetic""]";"NEO";"Malaysian Ringgit"
"NEON/USD";"[""Gate.io""]";"Neon EVM";"US Dollar"
"NEO/PLN";"[""Synthetic""]";"NEO";"Polish Zloty"
"NEO/RUB";"[""Synthetic""]";"NEO";"Russian Ruble"
"NEO/SAR";"[""Synthetic""]";"NEO";"Saudi Riyal"
"NEO/SEK";"[""Synthetic""]";"NEO";"Swedish Krona"
"NEOS/USD";"[""Synthetic""]";"NeosCoin";"US Dollar"
"NEO/THB";"[""Synthetic""]";"NEO";"Thai Baht"
"NEO/TRY";"[""Binance"",""BTCTurk"",""Paribu"",""Synthetic""]";"Neo";"Turkish Lira"
"NEO/USD";"[""Binance"",""OKEx""]";"NEO";"US Dollar"
"NEO/VND";"[""Synthetic""]";"NEO";"Vietnamese Dong"
"NEO/ZAR";"[""AltCoinTrader"",""Synthetic""]";"NEO";"South African Rand"
"NETKO/BTC";"[""YoBit""]";"Netko";"Bitcoin"
"NETKO/USD";"[""Synthetic""]";"Netko";"US Dollar"
"NET/USD";"[""Synthetic""]";"NetCoin";"US Dollar"
"NEVA/BTC";"[""YoBit""]";"NevaCoin";"Bitcoin"
"NEVA/USD";"[""Synthetic""]";"NevaCoin";"US Dollar"
"NEWB/USD";"[""Synthetic""]";"Newbium";"US Dollar"
"NEXO/BTC";"[""HitBTC""]";"Nexo";"Bitcoin"
"NEXO/USD";"[""Synthetic""]";"Nexo";"US Dollar"
"NFT/USD";"[""Huobi"",""OKX""]";"APENFT";"US Dollar"
"NIM/USD";"[""Synthetic""]";"Nimiq";"US Dollar"
"NKA/USD";"[""Synthetic""]";"IncaKoin";"US Dollar"
"NKN/USD";"[""Binance"",""Gate.io""]";"NKN";"US Dollar"
"NLC2/BTC";"[""YoBit""]";"NoLimitCoin";"Bitcoin"
"NLC2/USD";"[""Synthetic""]";"NoLimitCoin";"US Dollar"
"NLG/BTC";"[""YoBit""]";"Gulden";"Bitcoin"
"NLG/USD";"[""Synthetic""]";"Gulden";"US Dollar"
"NMC/BTC";"[""YoBit""]";"Namecoin";"Bitcoin"
"NMC/USD";"[""Synthetic""]";"Namecoin";"US Dollar"
"NMR/BTC";"[""Upbit""]";"Numeraire";"Bitcoin"
"NMR/USD";"[""Synthetic""]";"Numeraire";"US Dollar"
"NMS/USD";"[""Synthetic""]";"Numus";"US Dollar"
"NOBL/USD";"[""Synthetic""]";"NobleCoin";"US Dollar"
"NOT/USDT";"[""Binance""]";"Notcoin";"US Dollar"
"NRO/USD";"[""Synthetic""]";"Neuro";"US Dollar"
"NSD/USD";"[""Synthetic""]";"Nasdacoin";"US Dollar"
"NTK/BTC";"[""YoBit""]";"Neurotoken";"Bitcoin"
"NTK/USD";"[""Synthetic""]";"Neurotoken";"US Dollar"
"NTWK/USD";"[""Synthetic""]";"Network Token";"US Dollar"
"NULS/USD";"[""OKEx""]";"NULS";"US Dollar"
"NVC/BTC";"[""YoBit""]";"Novacoin";"Bitcoin"
"NVC/USD";"[""Synthetic""]";"Novacoin";"US Dollar"
"NXC/USD";"[""Synthetic""]";"Nexium";"US Dollar"
"NYC/USD";"[""YoBit""]";"NewYorkCoin";"US Dollar"
"OBITS/USD";"[""Synthetic""]";"OBITS";"US Dollar"
"OCOW/USD";"[""Synthetic""]";"OCOW";"US Dollar"
"OCT/USD";"[""Synthetic""]";"OracleChain";"US Dollar"
"ODN/USD";"[""Synthetic""]";"Obsidian";"US Dollar"
"OGN/BTC";"[""Binance""]";"Origin Protocol";"Bitcoin"
"OGN/USD";"[""Binance"",""MXC""]";"Origin Protocol";"US Dollar"
"OKB/BTC";"[""OKEx""]";"OKB";"Bitcoin"
"OKB/USD";"[""OKEx""]";"OKB";"US Dollar"
"OK/USD";"[""Synthetic""]";"OKCash";"US Dollar"
"OMC/USD";"[""Synthetic""]";"Omicron";"US Dollar"
"OMG/AUD";"[""BTC Markets""]";"OmiseGO";"Australian Dollar"
"OMG/EUR";"[""Kraken""]";"OMG Network";"Euro"
"OMG/INR";"[""Bitbns""]";"OmiseGO";"Indian Rupee"
"OMG/TRY";"[""Paribu""]";"OMG Network";"Turkish Lira"
"OMG/USD";"[""Huobi""]";"OmiseGO";"US Dollar"
"OMNI/USD";"[""Bitfinex""]";"Omni";"US Dollar"
"ONDO/USD";"[""Bybit""]";"Ondo";"US Dollar"
"ONE/USD";"[""Binance""]";"Harmony";"US Dollar"
"ONION/USD";"[""Synthetic""]";"DeepOnion";"US Dollar"
"ONT/BTC";"[""Binance""]";"Ontology";"Bitcoin"
"ONT/TRY";"[""Paribu""]";"Ontology";"Turkish Lira"
"ONT/USD";"[""Huobi"",""OKEx"",""Synthetic""]";"Ontology";"US Dollar"
"ONX/USD";"[""Synthetic""]";"Onix";"US Dollar"
"OPAL/BTC";"[""YoBit""]";"Opal";"Bitcoin"
"OPAL/USD";"[""Synthetic""]";"Opal";"US Dollar"
"OPC/USD";"[""Synthetic""]";"OP Coin";"US Dollar"
"OPES/USD";"[""Synthetic""]";"Opescoin";"US Dollar"
"OPm/BTC";"[""Binance""]";"Optimism";"Bitcoin"
"OPm/CAD";"[""Synthetic""]";"Optimism";"Canadian Dollar"
"OPm/USD";"[""Huobi"",""Kucoin""]";"Optimism";"US Dollar"
"OPTI/USD";"[""Synthetic""]";"OptiToken";"US Dollar"
"OP/USD";"[""Coinbase Pro""]";"Operand";"US Dollar"
"ORB/USD";"[""Synthetic""]";"Orbitcoin";"US Dollar"
"ORDI/USD";"[""Binance""]";"ORDI";"US Dollar"
"ORMEUS/USD";"[""Synthetic""]";"Ormeus Coin";"US Dollar"
"OS76/USD";"[""Synthetic""]";"OsmiumCoin";"US Dollar"
"OSMO/USD";"[""Binance""]";"Osmosis";"US Dollar"
"OST/USD";"[""Gate.io""]";"Simple Token";"US Dollar"
"OTN/USD";"[""Synthetic""]";"Open Trading Network";"US Dollar"
"OXT/EUR";"[""Kraken""]";"Orchid";"Euro"
"OXT/USD";"[""Coinbase Pro""]";"Orchid";"US Dollar"
"PAC/USD";"[""Synthetic""]";"PAC Global";"US Dollar"
"PAK/BTC";"[""YoBit""]";"Pakcoin";"Bitcoin"
"PAK/USD";"[""YoBit""]";"Pakcoin";"US Dollar"
"PART/USD";"[""Synthetic""]";"Particl";"US Dollar"
"PASC/USD";"[""Synthetic""]";"Pascal Coin";"US Dollar"
"PASL/USD";"[""Synthetic""]";"Pascal Lite";"US Dollar"
"PAXG/BTC";"[""Binance""]";"PAX Gold";"Bitcoin"
"PAXG/CAD";"[""Synthetic""]";"PAX Gold";"Canadian Dollar"
"PAXG/USD";"[""Binance""]";"PAX Gold";"US Dollar"
"PAX/USD";"[""BitMart"",""Coinbase Pro""]";"Pax Dollar";"US Dollar"
"PAYX/USD";"[""Synthetic""]";"Paypex";"US Dollar"
"PBT/USD";"[""Synthetic""]";"Primalbase Token";"US Dollar"
"PCN/USD";"[""Synthetic""]";"PeepCoin";"US Dollar"
"PCOIN/USD";"[""Synthetic""]";"Pioneer Coin";"US Dollar"
"PCS/USD";"[""Synthetic""]";"Pabyosi Coin (Special)";"US Dollar"
"PDC/USD";"[""Synthetic""]";"Project Decorum";"US Dollar"
"pDOTn/BTC";"[""Binance"",""Kraken""]";"Polkadot";"Bitcoin"
"pDOTn/CAD";"[""Synthetic""]";"Polkadot";"Canadian Dollar"
"pDOTn/EUR";"[""Binance"",""Kraken""]";"Polkadot";"Euro"
"pDOTn/GBP";"[""Coinbase Pro""]";"Polkadot";"British Pound"
"pDOTn/INR";"[""Bitbns""]";"Polkadot";"Indian Rupee"
"pDOTn/TRY";"[""BTCTurk"",""Paribu""]";"Polkadot";"Turkish Lira"
"pDOTn/USD";"[""Binance"",""Kraken""]";"Polkadot";"US Dollar"
"PENDLE/USD";"[""Binance""]";"Pendle";"US Dollar"
"PENG/USD";"[""Synthetic""]";"Penguin Coin";"US Dollar"
"PENGU/USDT";"[""Binance""]";"Pudgy Penguins";"US Dollar"
"PEOPLE/BTC";"[""Binance""]";"ConstitutionDAO";"Bitcoin"
"PEOPLE/USD";"[""Binance"",""Gate.io"",""Huobi""]";"ConstitutionDAO";"US Dollar"
"PEPE/USD";"[""Binance""]";"Pepe";"US Dollar"
"PERP/USD";"[""Binance""]";"Perpetual Protocol";"US Dollar"
"PEX/BTC";"[""YoBit""]";"PosEx";"Bitcoin"
"PEXT/DOGE";"[""YoBit""]";"Prime-Ex Perpetual";"Dogecoin"
"PEXT/ETH";"[""YoBit""]";"Prime-Ex Perpetual";"Ethereum"
"PEXT/RUB";"[""YoBit""]";"Prime-Ex Perpetual";"Russian Ruble"
"PEXT/USD";"[""YoBit""]";"Prime-Ex Perpetual";"US Dollar"
"PEXT/WAVES";"[""YoBit""]";"Prime-Ex Perpetual";"Waves"
"PEX/USD";"[""Synthetic""]";"PosEx";"US Dollar"
"PGL/USD";"[""Synthetic""]";"Prospectors Gold";"US Dollar"
"PHB/BTC";"[""Binance""]";"Red Pulse Phoenix";"Bitcoin"
"PHO/USD";"[""Synthetic""]";"Photon";"US Dollar"
"PHR/USD";"[""Synthetic""]";"Phore";"US Dollar"
"PHX/USD";"[""Synthetic""]";"Red Pulse Phoenix";"US Dollar"
"PIGGY/USD";"[""Synthetic""]";"Piggycoin";"US Dollar"
"PING/USD";"[""Synthetic""]";"CryptoPing";"US Dollar"
"PI/USD";"[""Gate.io""]";"Plian";"US Dollar"
"PI/USDT";"[""OKX""]";"Pi";"US Dollar"
"PIVX/BTC";"[""Binance""]";"PIVX";"Bitcoin"
"PIVX/USD";"[""Synthetic""]";"PIVX";"US Dollar"
"PIX/USD";"[""Synthetic""]";"Lampix";"US Dollar"
"PKB/BTC";"[""YoBit""]";"ParkByte";"Bitcoin"
"PKB/USD";"[""Synthetic""]";"ParkByte";"US Dollar"
"PLBT/BTC";"[""YoBit""]";"Polybius";"Bitcoin"
"PLBT/USD";"[""Synthetic""]";"Polybius";"US Dollar"
"PLC/USD";"[""Synthetic""]";"PlusCoin";"US Dollar"
"PLNC/BTC";"[""YoBit""]";"PLNcoin";"Bitcoin"
"PLNC/USD";"[""Synthetic""]";"PLNcoin";"US Dollar"
"Pluton/USD";"[""Kraken""]";"Pluton";"US Dollar"
"PND/USD";"[""Synthetic""]";"Pandacoin";"US Dollar"
"POLIS/USD";"[""Gate.io""]";"Star Atlas DAO";"US Dollar"
"POL/USD";"[""Binance""]";"POL";"US Dollar"
"POLY/USD";"[""Synthetic""]";"Polymath";"US Dollar"
"POND/USD";"[""Binance"",""Gate.io"",""KuCoin""]";"Marlin";"US Dollar"
"PONZI/BTC";"[""YoBit""]";"PonziCoin";"Bitcoin"
"PONZI/USD";"[""Synthetic""]";"PonziCoin";"US Dollar"
"PORTO/TRY";"[""Binance""]";"FC Porto Fan Token";"Turkish Lira"
"PORTO/USD";"[""Binance""]";"FC Porto Fan Token";"US Dollar"
"POST/BTC";"[""YoBit""]";"PostCoin";"Bitcoin"
"POST/USD";"[""Synthetic""]";"PostCoin";"US Dollar"
"POS/USD";"[""Synthetic""]";"PoSToken";"US Dollar"
"POSW/BTC";"[""YoBit""]";"PoSW Coin";"Bitcoin"
"POSW/USD";"[""Synthetic""]";"PoSW Coin";"US Dollar"
"POT/USD";"[""Synthetic""]";"PotCoin";"US Dollar"
"POWR/AUD";"[""BTC Markets""]";"Power Ledger";"Australian Dollar"
"POWR/BTC";"[""Binance"",""Bitrue""]";"Power Ledger";"Bitcoin"
"POWR/ETH";"[""Binance""]";"Power Ledger";"Ethereum"
"POWR/KRW";"[""Bithumb"",""Upbit""]";"Power Ledger";"Korean Won"
"POWR/USD";"[""Gate.io"",""Synthetic""]";"Power Ledger";"US Dollar"
"PPP/USD";"[""Synthetic""]";"PayPie";"US Dollar"
"PRES/USD";"[""Synthetic""]";"President Trump";"US Dollar"
"PRG/BTC";"[""YoBit""]";"Paragon";"Bitcoin"
"PRG/ETH";"[""YoBit""]";"Paragon";"Ethereum"
"PRG/USD";"[""Synthetic""]";"Paragon";"US Dollar"
"PRIV/USD";"[""Synthetic""]";"PRiVCY";"US Dollar"
"PRIX/BTC";"[""YoBit""]";"Privatix";"Bitcoin"
"PRIX/USD";"[""Synthetic""]";"Privatix";"US Dollar"
"PRN/USD";"[""Synthetic""]";"Protean";"US Dollar"
"PROM/USD";"[""Synthetic""]";"Prometeus";"US Dollar"
"PRO/USD";"[""Synthetic""]";"Propy";"US Dollar"
"PSY/USD";"[""Synthetic""]";"Psilocybin";"US Dollar"
"PTOY/BTC";"[""HitBTC""]";"Patientory";"Bitcoin"
"PTOY/ETH";"[""HitBTC""]";"Patientory";"Ethereum"
"PTOY/USD";"[""Synthetic""]";"Patientory";"US Dollar"
"PTT/USD";"[""Synthetic""]";"Proton Token";"US Dollar"
"PURE/USD";"[""Synthetic""]";"Pure";"US Dollar"
"PURPE/USDT";"[""BitMart""]";"Purple Pepe";"US Dollar"
"PXI/BTC";"[""YoBit""]";"Prime-XI";"Bitcoin"
"PXI/USD";"[""Synthetic""]";"Prime-XI";"US Dollar"
"PYR/BTC";"[""Binance""]";"Vulcan Forged PYR";"Bitcoin"
"PYR/USD";"[""Binance"",""Gate.io"",""KuCoin""]";"Vulcan Forged PYR";"US Dollar"
"PYTH/USD";"[""Binance""]";"Pyth Network";"US Dollar"
"QAU/USD";"[""Synthetic""]";"Quantum";"US Dollar"
"QBC/BTC";"[""YoBit""]";"Quebecoin";"Bitcoin"
"QBC/USD";"[""Synthetic""]";"Quebecoin";"US Dollar"
"QKC/KRW";"[""Upbit""]";"QuarkChain";"Korean Won"
"QKC/USD";"[""Gate.io""]";"QuarkChain";"US Dollar"
"QNT/USD";"[""Binance"",""Coinbase Pro"",""Synthetic""]";"Quant";"US Dollar"
"QRK/USD";"[""Synthetic""]";"Quark";"US Dollar"
"QSP/USD";"[""Gate.io""]";"Quantstamp";"US Dollar"
"QTUM/AUD";"[""Synthetic""]";"Qtum";"Australian Dollar"
"QTUM/BTC";"[""Binance""]";"Qtum";"Bitcoin"
"QTUM/CAD";"[""Synthetic""]";"Qtum";"Canadian Dollar"
"QTUM/CNY";"[""Synthetic""]";"Qtum";"Chinese Yuan"
"QTUM/ETH";"[""Binance""]";"Qtum";"Ethereum"
"QTUM/EUR";"[""Kraken""]";"Qtum";"Euro"
"QTUM/HKD";"[""Synthetic""]";"Qtum";"Hong Kong Dollar"
"QTUM/ILS";"[""Synthetic""]";"Qtum";"Israeli Shekel"
"QTUM/INR";"[""Synthetic""]";"Qtum";"Indian Rupee"
"QTUM/JPY";"[""Bitbank""]";"Qtum";"Japanese Yen"
"QTUM/KRW";"[""Bithumb"",""Upbit""]";"Qtum";"Korean Won"
"QTUM/MXN";"[""Synthetic""]";"Qtum";"Mexican Peso"
"QTUM/MYR";"[""Synthetic""]";"Qtum";"Malaysian Ringgit"
"QTUM/PLN";"[""Synthetic""]";"Qtum";"Polish Zloty"
"QTUM/RUB";"[""Synthetic""]";"Qtum";"Russian Ruble"
"QTUM/SAR";"[""Synthetic""]";"Qtum";"Saudi Riyal"
"QTUM/SEK";"[""Synthetic""]";"Qtum";"Swedish Krona"
"QTUM/TRY";"[""Synthetic""]";"Qtum";"Turkish Lira"
"QTUM/USD";"[""Binance"",""OKEx""]";"Qtum";"US Dollar"
"QTUM/VND";"[""Synthetic""]";"Qtum";"Vietnamese Dong"
"QTUM/ZAR";"[""Synthetic""]";"Qtum";"South African Rand"
"QUICK/USD";"[""Binance""]";"QuickSwap";"US Dollar"
"QWARK/USD";"[""Synthetic""]";"Qwark";"US Dollar"
"RACA/USD";"[""Gate.io""]";"Radio Caca";"US Dollar"
"RADS/USD";"[""Synthetic""]";"Radium";"US Dollar"
"RAD/USD";"[""Binance"",""Coinbase Pro""]";"Radicle";"US Dollar"
"RAIN/USD";"[""Synthetic""]";"Condensate";"US Dollar"
