symbol;available_exchanges;currency_base;currency_quote
"AUR/BTC";"[""YoBit""]";"Auroracoin";"Bitcoin"
"AUR/USD";"[""Synthetic""]";"Auroracoin";"US Dollar"
"A/USDT";"[""Binance""]";"Vaulta";"US Dollar"
"AUSD/USD";"[""Uniswap""]";"AUSD";"US Dollar"
"AUTO/USD";"[""Synthetic""]";"Cube";"US Dollar"
"AU/USD";"[""Synthetic""]";"AurumCoin";"US Dollar"
"AVAX/BRL";"[""Binance""]";"Avalanche";"Brazil Real"
"AVAX/BTC";"[""Binance""]";"Avalanche";"Bitcoin"
"AVAX/CAD";"[""Synthetic""]";"Avalanche";"Canadian Dollar"
"AVAX/EUR";"[""Binance""]";"Avalanche";"Euro"
"AVAX/TRY";"[""Paribu""]";"Avalanche";"Turkish Lira"
"AVAX/USD";"[""Binance"",""Huobi""]";"Avalanche";"US Dollar"
"AV/BTC";"[""YoBit""]";"AvatarCoin";"Bitcoin"
"AVT/ETH";"[""HitBTC""]";"Aventus";"Ethereum"
"AVT/USD";"[""Synthetic""]";"Aventus";"US Dollar"
"AV/USD";"[""Synthetic""]";"AvatarCoin";"US Dollar"
"AWR/USD";"[""Synthetic""]";"AWARE";"US Dollar"
"AXIOM/BTC";"[""YoBit""]";"Axiom";"Bitcoin"
"AXIOM/USD";"[""Synthetic""]";"Axiom";"US Dollar"
"AXL/USD";"[""Binance""]";"Axelar";"US Dollar"
"AXS/BRL";"[""Synthetic""]";"Axie Infinity";"Brazil Real"
"AXS/CAD";"[""Synthetic""]";"Axie Infinity";"Canadian Dollar"
"AXS/EUR";"[""Coinbase Pro"",""Kraken""]";"Axie Infinity";"Euro"
"AXS/KRW";"[""Bithumb""]";"Axie Infinity";"Korean Won"
"AXS/USD";"[""Binance""]";"Axie Infinity";"US Dollar"
"B2B/USD";"[""Synthetic""]";"B2BX";"US Dollar"
"B2X/BTC";"[""YoBit""]";"SegWit2x";"Bitcoin"
"B2X/USD";"[""YoBit""]";"SegWit2x";"US Dollar"
"BAC/USD";"[""Synthetic""]";"BitAlphaCoin";"US Dollar"
"BADGER/USD";"[""Coinbase Pro""]";"Badger DAO";"US Dollar"
"BAKE/INR";"[""Bitbns""]";"BakeryToken";"Indian Rupee"
"BAL/USD";"[""Coinbase Pro""]";"Balancer";"US Dollar"
"BANCA/USD";"[""Synthetic""]";"Banca";"US Dollar"
"BAND/BTC";"[""Binance""]";"Band Protocol";"Bitcoin"
"BAND/USD";"[""Binance""]";"Band Protocol";"US Dollar"
"BAT/BTC";"[""Binance""]";"Basic Attention Token ";"Bitcoin"
"BAT/ETH";"[""Coinbase Pro""]";"Basic Attention Token";"Ethereum"
"BAT/EUR";"[""Kraken""]";"Basic Attention Token";"Euro"
"BAT/INR";"[""Bitbns""]";"Basic Attention Token";"Indian Rupee"
"BAT/JPY";"[""Bitbank""]";"Basic Attention Token";"Japanese Yen"
"BAT/MXN";"[""Bitso""]";"Basic Attention Token";"Mexican Peso"
"BAT/TRY";"[""Paribu""]";"Basic Attention Token";"Turkish Lira"
"BAT/USD";"[""Binance""]";"Basic Attention Token";"US Dollar"
"BAX/USD";"[""Synthetic""]";"BABB";"US Dollar"
"BAY/USD";"[""Synthetic""]";"BitBay";"US Dollar"
"BBC/USD";"[""Synthetic""]";"TraDove B2BCoin";"US Dollar"
"BBK/USD";"[""Synthetic""]";"Brickblock";"US Dollar"
"BCAP/USD";"[""Synthetic""]";"BCAP";"US Dollar"
"BCA/USD";"[""YoBit""]";"Bitcoin Atom";"US Dollar"
"BCD/IDR";"[""Indodax""]";"Bitcoin Diamond";"Indonesian Rupiah"
"BCDN/USD";"[""Gate.io""]";"BlockCDN";"US Dollar"
"BCHABC/AUD";"[""BTC Markets""]";"Bitcoin Cash";"Australian Dollar"
"BCHABC/BTC";"[""OKEx""]";"Bitcoin Cash";"Bitcoin"
"BCHABC/IDR";"[""Indodax""]";"Bitcoin Cash";"Indonesian Rupiah"
"BCHABC/INR";"[""Bitbns""]";"Bitcoin Cash";"Indian Rupee"
"BCHABC/ZAR";"[""AltCoinTrader""]";"Bitcoin Cash";"South African Rand"
"BCH/AUD";"[""Synthetic""]";"Bitcoin Cash";"Australian Dollar"
"BCH/BNB";"[""Binance""]";"Bitcoin Cash";"Binance Coin"
"BCH/BRL";"[""MercadoBitcoin""]";"Bitcoin Cash";"Brazil Real"
"BCH/CAD";"[""Synthetic""]";"Bitcoin Cash";"Canadian Dollar"
"BCH/CNY";"[""Synthetic""]";"Bitcoin Cash";"Chinese Yuan"
